iter	Passed	Remaining
0	3	3183
1	5	2851
2	9	3215
3	12	3082
4	14	2957
5	17	2881
6	19	2832
7	22	2840
8	26	2933
9	30	2974
10	33	2986
11	36	2978
12	39	2969
13	42	3017
14	45	2994
15	48	2961
16	50	2944
17	53	2927
18	56	2931
19	59	2933
20	62	2911
21	65	2904
22	68	2892
23	71	2911
24	75	2937
25	78	2929
26	81	2927
27	84	2922
28	87	2920
29	90	2938
30	93	2934
31	96	2922
32	99	2918
33	102	2912
34	106	2939
35	109	2930
36	112	2922
37	115	2925
38	119	2938
39	123	2973
40	126	2968
41	130	2980
42	134	2996
43	139	3021
44	142	3025
45	146	3032
46	149	3029
47	154	3055
48	158	3072
49	161	3068
50	165	3076
51	169	3091
52	174	3110
53	177	3107
54	180	3097
55	184	3104
56	204	3378
57	207	3373
58	210	3359
59	213	3347
60	217	3349
61	221	3356
62	225	3349
63	227	3333
64	230	3320
65	235	3338
66	239	3339
67	242	3327
68	246	3321
69	249	3320
70	254	3324
71	257	3317
72	260	3303
73	263	3293
74	267	3302
75	271	3301
76	275	3302
77	278	3296
78	283	3306
79	287	3307
80	290	3297
81	293	3288
82	297	3289
83	302	3298
84	305	3290
85	308	3282
86	312	3282
87	316	3285
88	320	3275
89	323	3272
90	326	3262
91	330	3262
92	333	3255
93	336	3246
94	339	3237
95	342	3225
96	346	3224
97	349	3218
98	352	3209
99	356	3204
100	359	3197
101	363	3203
102	367	3198
103	370	3190
104	373	3181
105	376	3173
106	380	3175
107	383	3165
108	386	3162
109	389	3155
110	393	3155
111	397	3153
112	401	3148
113	404	3141
114	406	3131
115	410	3129
116	413	3122
117	416	3114
118	419	3107
119	422	3101
120	426	3097
121	430	3101
122	434	3095
123	437	3091
124	441	3091
125	445	3088
126	448	3082
127	451	3073
128	453	3064
129	456	3055
130	460	3058
131	463	3049
132	466	3040
133	468	3030
134	471	3021
135	474	3017
136	477	3009
137	480	3002
138	483	2994
139	486	2985
140	489	2980
141	492	2978
142	496	2973
143	499	2967
144	502	2960
145	505	2953
146	508	2951
147	511	2946
148	514	2940
149	517	2934
150	520	2926
151	524	2925
152	527	2918
153	530	2912
154	532	2904
155	535	2898
156	539	2895
157	542	2889
158	545	2883
159	548	2878
160	551	2873
161	555	2871
162	558	2865
163	560	2858
164	563	2851
165	566	2845
166	569	2842
167	573	2839
168	576	2835
169	580	2834
170	583	2826
171	585	2820
172	589	2818
173	592	2811
174	595	2806
175	597	2799
176	600	2792
177	604	2789
178	607	2784
179	609	2778
180	612	2771
181	615	2765
182	617	2758
183	621	2755
184	624	2751
185	627	2746
186	630	2740
187	633	2734
188	636	2731
189	639	2725
190	641	2719
191	644	2713
192	647	2707
193	650	2701
194	653	2697
195	656	2692
196	659	2686
197	661	2680
198	664	2674
199	667	2671
200	670	2666
201	673	2661
202	676	2654
203	678	2648
204	681	2642
205	684	2639
206	687	2635
207	690	2630
208	693	2626
209	696	2621
210	700	2620
211	703	2615
212	706	2609
213	708	2603
214	711	2597
215	714	2594
216	718	2592
217	721	2587
218	724	2582
219	727	2577
220	729	2572
221	733	2570
222	736	2564
223	738	2559
224	741	2553
225	744	2548
226	747	2544
227	750	2541
228	753	2536
229	756	2531
230	758	2525
231	761	2520
232	764	2517
233	767	2512
234	770	2507
235	773	2502
236	775	2497
237	779	2496
238	783	2493
239	785	2488
240	788	2483
241	791	2478
242	793	2473
243	797	2471
244	800	2466
245	803	2461
246	805	2456
247	808	2451
248	811	2446
249	814	2444
250	817	2439
251	819	2433
252	822	2429
253	825	2424
254	828	2421
255	832	2418
256	835	2414
257	838	2410
258	841	2407
259	844	2404
260	848	2401
261	851	2397
262	853	2392
263	856	2387
264	860	2385
265	863	2383
266	866	2378
267	869	2373
268	871	2368
269	874	2364
270	878	2361
271	881	2358
272	883	2353
273	887	2351
274	890	2346
275	893	2344
276	896	2340
277	899	2336
278	902	2332
279	905	2327
280	908	2323
281	911	2320
282	914	2317
283	917	2312
284	919	2307
285	922	2302
286	925	2299
287	928	2296
288	931	2292
289	934	2288
290	937	2283
